reference;brand;group
2209TV #            ;FAG                 ;ROLAMENTO                     
2209TV.C3           ;FAG                 ;ROLAMENTO                     
2210.2RS.TV         ;FAG                 ;ROLAMENTO                     
2210K.TV.C3         ;FAG                 ;ROLAMENTO                     
2210TV              ;FAG                 ;ROLAMENTO                     
2210TV #            ;FAG                 ;ROLAMENTO                     
2210TV.C3           ;FAG                 ;ROLAMENTO                     
2211.2RS.TV         ;FAG                 ;ROLAMENTO                     
2211K.2RS.TV.C3     ;FAG                 ;ROLAMENTO                     
2211K.TV.C3         ;FAG                 ;ROLAMENTO                     
2211K.TV.C3 #       ;FAG                 ;ROLAMENTO                     
2211TV              ;FAG                 ;ROLAMENTO                     
2211TV.C3           ;FAG                 ;ROLAMENTO                     
2212.2RS.TV         ;FAG                 ;ROLAMENTO                     
2212.2RS.TV.C3      ;FAG                 ;ROLAMENTO                     
2212K.TV.C3         ;FAG                 ;ROLAMENTO                     
2212K.TV.C3 #       ;FAG                 ;ROLAMENTO                     
2212TV              ;FAG                 ;ROLAMENTO                     
2212TV.C3           ;FAG                 ;ROLAMENTO                     
2213K.2RS.TV.C3     ;FAG                 ;ROLAMENTO                     
2213K.TV.C3         ;FAG                 ;ROLAMENTO                     
2213K.TV.C3 #       ;FAG                 ;ROLAMENTO                     
2213TV              ;FAG                 ;ROLAMENTO                     
2213TV.C3           ;FAG                 ;ROLAMENTO                     
2214M               ;FAG                 ;ROLAMENTO                     
2214M.C3            ;FAG                 ;ROLAMENTO                     
2214TV.2RS.TV       ;FAG                 ;ROLAMENTO                     
2215K.TV.C3         ;FAG                 ;ROLAMENTO                     
2215TV              ;FAG                 ;ROLAMENTO                     
2215TV.C3           ;FAG                 ;ROLAMENTO                     
2216K.TV.C3         ;FAG                 ;ROLAMENTO                     
2216TV              ;FAG                 ;ROLAMENTO                     
2216TV.C3           ;FAG                 ;ROLAMENTO                     
2217K.M.C3          ;FAG                 ;ROLAMENTO                     
2217M               ;FAG                 ;ROLAMENTO                     
2217M.C3            ;FAG                 ;ROLAMENTO                     
2218K.TV.C3         ;FAG                 ;ROLAMENTO                     
2218TV              ;FAG                 ;ROLAMENTO                     
2218TV.C3           ;FAG                 ;ROLAMENTO                     
22205E1             ;FAG                 ;ROLAMENTO                     
22205E1 #           ;FAG                 ;ROLAMENTO                     
22205E1.C3          ;FAG                 ;ROLAMENTO                     
22206E1             ;FAG                 ;ROLAMENTO                     
