reference;brand;group
AS 1730 #           ;INA                 ;ROLAMENTO                     
AS 2035             ;INA                 ;ROLAMENTO                     
AS 2035             ;INA                 ;ROLAMENTO                     
AS 2035             ;INA                 ;ROLAMENTO                     
AS 2035 #           ;INA                 ;ROLAMENTO                     
AS 2542             ;INA                 ;ROLAMENTO                     
AS 2542             ;INA                 ;ROLAMENTO                     
AS 2542 #           ;INA                 ;ROLAMENTO                     
AS 3047             ;INA                 ;ROLAMENTO                     
AS 3047             ;INA                 ;ROLAMENTO                     
AS 3047             ;INA                 ;ROLAMENTO                     
AS 3047 #           ;INA                 ;ROLAMENTO                     
AS 3047 (B)         ;INA                 ;ROLAMENTO                     
AS 3407             ;INA                 ;ROLAMENTO                     
AS 3552             ;INA                 ;ROLAMENTO                     
AS 3552             ;INA                 ;ROLAMENTO                     
AS 3552 #           ;INA                 ;ROLAMENTO                     
AS 4060             ;INA                 ;ROLAMENTO                     
AS 4060             ;INA                 ;ROLAMENTO                     
AS 4060#E           ;INA                 ;ROLAMENTO                     
AS 4565             ;INA                 ;ROLAMENTO                     
AS 4565             ;INA                 ;ROLAMENTO                     
AS 5070             ;INA                 ;ROLAMENTO                     
AS 5070             ;INA                 ;ROLAMENTO                     
AS 5578             ;INA                 ;ROLAMENTO                     
AS 6085             ;INA                 ;ROLAMENTO                     
AS 6085             ;INA                 ;ROLAMENTO                     
AS 6085 #           ;INA                 ;ROLAMENTO                     
AS 6090             ;INA                 ;ROLAMENTO                     
AS 6590             ;INA                 ;ROLAMENTO                     
AS 7095 # I         ;INA                 ;ROLAMENTO                     
AS 7095 A           ;INA                 ;ROLAMENTO                     
AS 80105            ;INA                 ;ROLAMENTO                     
AS 85110            ;INA                 ;ROLAMENTO                     
AS9 50163           ;INA                 ;RETENTOR                      
ASE 06              ;INA                 ;MANCAL                        
ASE 08              ;INA                 ;MANCAL                        
AXK 0821 #          ;INA                 ;ROLAMENTO                     
AXK 1024            ;INA                 ;ROLAMENTO                     
AXK 1024 A          ;INA                 ;ROLAMENTO                     
AXK 110145          ;INA                 ;ROLAMENTO                     
AXK 110145          ;INA                 ;ROLAMENTO                     
AXK 110145 #        ;INA                 ;ROLAMENTO                     
AXK 120155          ;INA                 ;ROLAMENTO                     
AXK 120155 #        ;INA                 ;ROLAMENTO                     
AXK 1226            ;INA                 ;ROLAMENTO                     
AXK 1226            ;INA                 ;ROLAMENTO                     
AXK 1226            ;INA                 ;ROLAMENTO                     
AXK 1226 A          ;INA                 ;ROLAMENTO                     
AXK 1226 A          ;INA                 ;ROLAMENTO                     
AXK 140180 #        ;INA                 ;ROLAMENTO                     
AXK 1528            ;INA                 ;ROLAMENTO                     
AXK 1528            ;INA                 ;ROLAMENTO                     
AXK 1528            ;INA                 ;ROLAMENTO                     
AXK 1528 A          ;INA                 ;ROLAMENTO                     
AXK 1528 A          ;INA                 ;ROLAMENTO                     
AXK 1730            ;INA                 ;ROLAMENTO                     
AXK 1730 #          ;INA                 ;ROLAMENTO                     
AXK 1730 A          ;INA                 ;ROLAMENTO                     
AXK 1730 A          ;INA                 ;ROLAMENTO                     
AXK 2035            ;INA                 ;ROLAMENTO                     
AXK 2035  A #       ;INA                 ;ROLAMENTO                     
AXK 2035 A          ;INA                 ;ROLAMENTO                     
AXK 2035 A          ;INA                 ;ROLAMENTO                     
AXK 2542            ;INA                 ;ROLAMENTO                     
AXK 2542 #          ;INA                 ;ROLAMENTO                     
AXK 2542 A          ;INA                 ;ROLAMENTO                     
AXK 3037 A          ;INA                 ;ROLAMENTO                     
AXK 3047            ;INA                 ;ROLAMENTO                     
AXK 3047 #          ;INA                 ;ROLAMENTO                     
AXK 3047 A          ;INA                 ;ROLAMENTO                     
AXK 3047 A          ;INA                 ;ROLAMENTO                     
AXK 3552            ;INA                 ;ROLAMENTO                     
AXK 3552            ;INA                 ;ROLAMENTO                     
AXK 3552            ;INA                 ;ROLAMENTO                     
AXK 3552 #          ;INA                 ;ROLAMENTO                     
AXK 3552 A          ;INA                 ;ROLAMENTO                     
AXK 4060            ;INA                 ;ROLAMENTO                     
AXK 4060 A          ;INA                 ;ROLAMENTO                     
AXK 4565            ;INA                 ;ROLAMENTO                     
AXK 4565            ;INA                 ;ROLAMENTO                     
AXK 5070            ;INA                 ;ROLAMENTO                     
AXK 5070 A          ;INA                 ;ROLAMENTO                     
AXK 5070 A          ;INA                 ;ROLAMENTO                     
AXK 5578            ;INA                 ;ROLAMENTO                     
AXK 5578            ;INA                 ;ROLAMENTO                     
AXK 5578 A          ;INA                 ;ROLAMENTO                     
AXK 5578 A          ;INA                 ;ROLAMENTO                     
AXK 6085            ;INA                 ;ROLAMENTO                     
AXK 6085 #          ;INA                 ;ROLAMENTO                     
AXK 6085 A          ;INA                 ;ROLAMENTO                     
AXK 6085 A B        ;INA                 ;ROLAMENTO                     
AXK 7095            ;INA                 ;ROLAMENTO                     
AXK 7095 #          ;INA                 ;ROLAMENTO                     
AXK 7095 A          ;INA                 ;ROLAMENTO                     
AXK 75100 #         ;INA                 ;ROLAMENTO                     
AXK 80105 A         ;INA                 ;ROLAMENTO                     
AXK 80105 A         ;INA                 ;ROLAMENTO                     
AXK 80105 A (B)     ;INA                 ;ROLAMENTO                     
AXK6085/AS          ;INA                 ;ROLAMENTO                     
AXW 15              ;INA                 ;ROLAMENTO                     
AXW 20              ;INA                 ;ROLAMENTO                     
AXW 20              ;INA                 ;ROLAMENTO                     
AXW 20 (B)          ;INA                 ;ROLAMENTO                     
AXW 30              ;INA                 ;ROLAMENTO                     
AXW 30              ;INA                 ;ROLAMENTO                     
AXW 30 #            ;INA                 ;ROLAMENTO                     
AXW 30 (B)          ;INA                 ;ROLAMENTO                     
AXW 30#E            ;INA                 ;ROLAMENTO                     
B 1416              ;INA                 ;ROLAMENTO                     
B 1816              ;INA                 ;ROLAMENTO                     
B7005C.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7010C.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7010E.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7011C.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7012C.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7012E.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7014C.T.P4S.DUL    ;FAG                 ;ROLAMENTO                     
B7014C.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7014E.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7020C.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7024E.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7026C.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7026E.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7028E.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B71910C.T.P4S.UL    ;FAG                 ;ROLAMENTO                     
B71910E.T.P4S.UL    ;FAG                 ;ROLAMENTO                     
B71911C.T.P4S.UL    ;FAG                 ;ROLAMENTO                     
B71911E.T.P4S.UL    ;FAG                 ;ROLAMENTO                     
B71913E.T.P4S.UL    ;FAG                 ;ROLAMENTO                     
B71914C.T.P4S.UL    ;FAG                 ;ROLAMENTO                     
B71920E.T.P4S.UM    ;FAG                 ;ROLAMENTO                     
B71922E.T.P4S.UL    ;FAG                 ;ROLAMENTO                     
B71932C.T.P4S.TUL   ;FAG                 ;ROLAMENTO                     
B71932C.T.P4S.UL    ;FAG                 ;ROLAMENTO                     
B71932E.T.P4S.TUL   ;FAG                 ;ROLAMENTO                     
B71932E.T.P4S.UL    ;FAG                 ;ROLAMENTO                     
B71934C.T.P4S.UL    ;FAG                 ;ROLAMENTO                     
B71936C.T.P4S.DUL   ;FAG                 ;ROLAMENTO                     
B71936C.T.P4S.UL    ;FAG                 ;ROLAMENTO                     
B71936E.T.P4S.UL    ;FAG                 ;ROLAMENTO                     
B71940E.T.P4S.UL    ;FAG                 ;ROLAMENTO                     
B71944E.T.P4S.UL    ;FAG                 ;ROLAMENTO                     
B7205E.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7208E.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7209C.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7210C.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7211C.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7212C.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7218E.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
B7220C.T.P4S.UL     ;FAG                 ;ROLAMENTO                     
BCE 1112            ;INA                 ;ROLAMENTO                     
BCE 1212            ;INA                 ;ROLAMENTO                     
BCE 1412            ;INA                 ;ROLAMENTO                     
BCH 2020            ;INA                 ;ROLAMENTO                     
BCH 2020 #          ;INA                 ;ROLAMENTO                     
BE 30               ;INA                 ;ROLAMENTO                     
BE 35               ;INA                 ;ROLAMENTO                     
BE30-AH01           ;INA                 ;ROLAMENTO                     
BE30-AH04           ;INA                 ;ROLAMENTO                     
BF 30105            ;INA                 ;ROLAMENTO                     
BH 1412             ;INA                 ;ROLAMENTO                     
BH 2016             ;INA                 ;ROLAMENTO                     
BH 2216             ;INA                 ;ROLAMENTO                     
BK 0609             ;INA                 ;ROLAMENTO                     
BK 0609             ;INA                 ;ROLAMENTO                     
BK 1010             ;INA                 ;ROLAMENTO                     
BK 1210             ;INA                 ;ROLAMENTO                     
BK 1210 #           ;INA                 ;ROLAMENTO                     
BK 1210 B           ;INA                 ;ROLAMENTO                     
BK 1212 #           ;INA                 ;ROLAMENTO                     
BK 1212 A           ;INA                 ;ROLAMENTO                     
BK 1212 A (B)       ;INA                 ;ROLAMENTO                     
BK 1412 A           ;INA                 ;ROLAMENTO                     
BK 1414 2RS #       ;FAG                 ;ROLAMENTO                     
BK 1516             ;INA                 ;ROLAMENTO                     
BK 1612             ;INA                 ;ROLAMENTO                     
BK 1612 #           ;INA                 ;ROLAMENTO                     
BK 1616             ;INA                 ;ROLAMENTO                     
BK 1816             ;INA                 ;ROLAMENTO                     
BK 1816 A           ;INA                 ;ROLAMENTO                     
BK 1816 A (B)       ;INA                 ;ROLAMENTO                     
BK 2020             ;INA                 ;ROLAMENTO                     
BK 2216 #           ;INA                 ;ROLAMENTO                     
BK 2518 RS#         ;INA                 ;ROLAMENTO                     
BK 3016 #           ;INA                 ;ROLAMENTO                     
BK 3020             ;INA                 ;ROLAMENTO                     
BK 3026             ;INA                 ;ROLAMENTO                     
BK 3038             ;INA                 ;ROLAMENTO                     
BK 3038             ;INA                 ;ROLAMENTO                     
BK 3038 #           ;INA                 ;ROLAMENTO                     
BK 3038 ZW          ;INA                 ;ROLAMENTO                     
BK 3038 ZW          ;INA                 ;ROLAMENTO                     
BK 4020             ;INA                 ;ROLAMENTO                     
BK 5020 #           ;INA                 ;ROLAMENTO                     
BK 5025 A           ;INA                 ;ROLAMENTO                     
BL 210 Z            ;INA                 ;ROLAMENTO                     
BL 210 ZNR          ;INA                 ;ROLAMENTO                     
BL 210 ZNR **       ;INA                 ;ROLAMENTO                     
BR 21 #             ;INA                 ;ROLAMENTO                     
BR 28 #             ;INA                 ;ROLAMENTO                     
BR 283720 #         ;INA                 ;ROLAMENTO                     
C 16X21X16          ;INA                 ;ROLAMENTO                     
C 16X21X16 #        ;INA                 ;ROLAMENTO                     
CF 12 PP            ;INA                 ;ROLAMENTO                     
CF 16               ;INA                 ;ROLAMENTO                     
CF 40 PP            ;INA                 ;ROLAMENTO                     
CJ 04               ;INA                 ;MANCAL                        
CJ 06               ;INA                 ;MANCAL                        
CJ 07               ;INA                 ;MANCAL                        
CJ 08               ;INA                 ;MANCAL                        
CJ 09               ;INA                 ;MANCAL                        
CJ 10               ;INA                 ;MANCAL                        
CJTZ 06             ;INA                 ;MANCAL                        
CNS 2020 X          ;INA                 ;ROLAMENTO                     
CSN 1412            ;INA                 ;ROLAMENTO                     
CSN 2020            ;INA                 ;ROLAMENTO                     
CSN 2020 X          ;INA                 ;ROLAMENTO                     
CSN 2020 X #        ;INA                 ;ROLAMENTO                     
CSN 2816            ;INA                 ;ROLAMENTO                     
CSN 2816            ;INA                 ;ROLAMENTO                     
CSN 78              ;INA                 ;ROLAMENTO                     
DRS 3590            ;INA                 ;ROLAMENTO                     
DRS 3590 (B)        ;INA                 ;ROLAMENTO                     
DRS 40115           ;INA                 ;ROLAMENTO                     
DRS 40115           ;INA                 ;ROLAMENTO                     
DRS 40115 B         ;INA                 ;ROLAMENTO                     
E 30 KRR FA140      ;INA                 ;ROLAMENTO                     
E30- KRR-OSE        ;INA                 ;ROLAMENTO                     
ESFERA 1/2          ;INA                 ;ROLAMENTO                     
ESFERA 1/4" #       ;INA                 ;ROLAMENTO                     
ESFERA 12 MM        ;INA                 ;ROLAMENTO                     
ESFERA 13/32        ;INA                 ;ROLAMENTO                     
ESFERA 14,287CR #   ;INA                 ;ROLAMENTO                     
ESFERA 15 MM        ;INA                 ;ROLAMENTO                     
ESFERA 17 MM        ;INA                 ;ROLAMENTO                     
ESFERA 17 MM #      ;INA                 ;ROLAMENTO                     
ESFERA 18 MM        ;INA                 ;ROLAMENTO                     
ESFERA 19,05 CR III ;INA                 ;ROLAMENTO                     
ESFERA 19,05MM #    ;FAG                 ;ROLAMENTO                     
ESFERA 19,05MM #    ;INA                 ;ROLAMENTO                     
ESFERA 2,5 MM #     ;INA                 ;ROLAMENTO                     
ESFERA 23,019 MM #  ;FAG                 ;ROLAMENTO                     
ESFERA 3/8 #        ;INA                 ;ROLAMENTO                     
ESFERA 4 MM         ;INA                 ;ROLAMENTO                     
ESFERA 4,000CR #    ;INA                 ;ROLAMENTO                     
ESFERA 40MM #       ;FAG                 ;ROLAMENTO                     
ESFERA 43MM #       ;FAG                 ;ROLAMENTO                     
ESFERA 5 MM #       ;FAG                 ;ROLAMENTO                     
ESFERA 6 MM         ;INA                 ;ROLAMENTO                     
ESFERA 6,000CR #    ;INA                 ;ROLAMENTO                     
ESFERA 6,35 MM      ;INA                 ;ROLAMENTO                     
ESFERA 8 MM         ;INA                 ;ROLAMENTO                     
EST.MOD TERMOPL 50,8;FAG                 ;CORRENTE                      
EST.MOD TERMOPL 50,8;FAG                 ;CORRENTE                      
ESTETOSCOPIO ACUST R;FAG                 ;FERRAMENTA                    
F 110 603 #         ;INA                 ;ROLAMENTO                     
F 110053.1          ;INA                 ;ROLAMENTO                     
F 110056.1          ;INA                 ;ROLAMENTO                     
F 110093            ;INA                 ;ROLAMENTO                     
F 110096.2          ;INA                 ;ROLAMENTO                     
F 110097            ;INA                 ;ROLAMENTO                     
F 110097.G2         ;INA                 ;ROLAMENTO                     
F 110099            ;INA                 ;ROLAMENTO                     
F 110099 #          ;INA                 ;ROLAMENTO                     
F 110146.1          ;INA                 ;ROLAMENTO                     
F 110161.1          ;INA                 ;ROLAMENTO                     
F 110165.1          ;INA                 ;ROLAMENTO                     
F 110185.1          ;INA                 ;ROLAMENTO                     
F 110207            ;INA                 ;ROLAMENTO                     
F 110215            ;INA                 ;ROLAMENTO                     
F 110228            ;INA                 ;ROLAMENTO                     
F 110264            ;INA                 ;ROLAMENTO                     
F 110273.2A         ;INA                 ;ROLAMENTO                     
F 110306            ;INA                 ;ROLAMENTO                     
F 110327            ;INA                 ;ROLAMENTO                     
F 110354.1          ;INA                 ;ROLAMENTO                     
F 110365            ;INA                 ;ROLAMENTO                     
F 110381            ;INA                 ;ROLAMENTO                     
F 110390            ;INA                 ;ROLAMENTO                     
F 110390            ;INA                 ;ROLAMENTO                     
F 110391            ;INA                 ;ROLAMENTO                     
F 110398            ;INA                 ;ROLAMENTO                     
F 110415 B          ;INA                 ;ROLAMENTO                     
F 110415.01         ;INA                 ;ROLAMENTO                     
F 110429.1          ;INA                 ;ROLAMENTO                     
F 110438.1          ;INA                 ;ROLAMENTO                     
F 110441.1          ;INA                 ;ROLAMENTO                     
F 110442            ;INA                 ;ROLAMENTO                     
F 110457            ;INA                 ;ROLAMENTO                     
F 110483            ;INA                 ;ROLAMENTO                     
F 110483.1          ;INA                 ;ROLAMENTO                     
F 110487            ;INA                 ;ROLAMENTO                     
F 110487.1          ;INA                 ;ROLAMENTO                     
F 110503            ;INA                 ;ROLAMENTO                     
F 110504            ;INA                 ;ROLAMENTO                     
F 110539            ;INA                 ;ROLAMENTO                     
F 110598            ;INA                 ;ROLAMENTO                     
F 110603            ;INA                 ;ROLAMENTO                     
F 110604.1          ;INA                 ;ROLAMENTO                     
F 110607-20         ;INA                 ;ROLAMENTO                     
F 110617            ;INA                 ;ROLAMENTO                     
F 110617.1          ;INA                 ;ROLAMENTO                     
F 110621            ;INA                 ;ROLAMENTO                     
F 110621 FA140      ;INA                 ;ROLAMENTO                     
F 110621.1          ;INA                 ;ROLAMENTO                     
F 110622.2          ;INA                 ;ROLAMENTO                     
F 110627.3          ;INA                 ;ROLAMENTO                     
F 110627.4          ;INA                 ;ROLAMENTO                     
F 110628.3          ;INA                 ;ROLAMENTO                     
F 110640            ;INA                 ;ROLAMENTO                     
F 110648            ;INA                 ;ROLAMENTO                     
F 110672-300        ;INA                 ;ROLAMENTO                     
F 110681.3          ;INA                 ;ROLAMENTO                     
F 110723            ;INA                 ;ROLAMENTO                     
F 110731            ;INA                 ;ROLAMENTO                     
F 110806.1          ;INA                 ;ROLAMENTO                     
F 110806.2          ;INA                 ;ROLAMENTO                     
F 110867 #          ;INA                 ;ROLAMENTO                     
F 110868            ;INA                 ;ROLAMENTO                     
F 110868 C          ;INA                 ;ROLAMENTO                     
F 110894            ;INA                 ;ROLAMENTO                     
F 110934.1          ;INA                 ;ROLAMENTO                     
F 110949            ;INA                 ;ROLAMENTO                     
F 110949 #          ;INA                 ;ROLAMENTO                     
F 110957            ;INA                 ;ROLAMENTO                     
F 110968            ;INA                 ;ROLAMENTO                     
F 110969 C          ;INA                 ;ROLAMENTO                     
F 110995            ;INA                 ;ROLAMENTO                     
F 110995            ;INA                 ;ROLAMENTO                     
F 112033            ;INA                 ;ROLAMENTO                     
F 112200            ;INA                 ;ROLAMENTO                     
F 112201            ;INA                 ;ROLAMENTO                     
F 112205            ;INA                 ;ROLAMENTO                     
F 112206            ;INA                 ;ROLAMENTO                     
F 112207            ;INA                 ;ROLAMENTO                     
F 112211            ;INA                 ;ROLAMENTO                     
F 112215            ;INA                 ;ROLAMENTO                     
F 112220            ;INA                 ;ROLAMENTO                     
F 112221            ;INA                 ;ROLAMENTO                     
F 113021            ;INA                 ;ROLAMENTO                     
F 113079            ;INA                 ;ROLAMENTO                     
F 113099            ;INA                 ;ROLAMENTO                     
F 113151            ;INA                 ;ROLAMENTO                     
F 113175            ;INA                 ;ROLAMENTO                     
F 113181            ;INA                 ;ROLAMENTO                     
F 113226            ;INA                 ;ROLAMENTO                     
F 113231            ;INA                 ;ROLAMENTO                     
F 113234 #          ;INA                 ;ROLAMENTO                     
F 113234 CC (F2)    ;INA                 ;ROLAMENTO                     
F 113237 CC (F3)    ;INA                 ;ROLAMENTO                     
F 113342.07         ;INA                 ;ROLAMENTO                     
F 113355            ;INA                 ;ROLAMENTO                     
F 113407.05         ;INA                 ;ROLAMENTO                     
F 113446            ;INA                 ;ROLAMENTO                     
F 113473            ;INA                 ;ROLAMENTO                     
F 113673            ;INA                 ;ROLAMENTO                     
F 120802            ;INA                 ;ROLAMENTO                     
F 123665            ;INA                 ;ROLAMENTO                     
F 12470             ;INA                 ;ROLAMENTO                     
F 12748             ;INA                 ;ROLAMENTO                     
F 12748 #           ;INA                 ;ROLAMENTO                     
F 12764             ;INA                 ;ROLAMENTO                     
F 16456             ;INA                 ;ROLAMENTO                     
F 16568             ;INA                 ;ROLAMENTO                     
F 200447            ;INA                 ;ROLAMENTO                     
F 200907            ;INA                 ;ROLAMENTO                     
F 202572            ;INA                 ;ROLAMENTO                     
F 203222.5          ;INA                 ;ROLAMENTO                     
F 204               ;INA                 ;MANCAL                        
F 205               ;INA                 ;MANCAL                        
F 206               ;INA                 ;MANCAL                        
F 206071.6          ;INA                 ;ROLAMENTO                     
F 207               ;INA                 ;MANCAL                        
F 208               ;INA                 ;MANCAL                        
F 209               ;INA                 ;MANCAL                        
F 210               ;INA                 ;MANCAL                        
F 210152 #          ;INA                 ;ROLAMENTO                     
F 210154.1          ;INA                 ;ROLAMENTO                     
F 210540            ;INA                 ;ROLAMENTO                     
F 211               ;INA                 ;MANCAL                        
F 212285.2          ;INA                 ;ROLAMENTO                     
F 217668.2 C        ;INA                 ;ROLAMENTO                     
F 218059.3          ;INA                 ;ROLAMENTO                     
F 218108.5          ;INA                 ;ROLAMENTO                     
F 218120            ;INA                 ;ROLAMENTO                     
F 218230            ;INA                 ;ROLAMENTO                     
F 218740.4          ;INA                 ;ROLAMENTO                     
F 220292            ;INA                 ;ROLAMENTO                     
F 223356-551        ;INA                 ;ROLAMENTO                     
F 224134            ;INA                 ;ROLAMENTO                     
F 224964            ;INA                 ;ROLAMENTO                     
F 224967            ;INA                 ;ROLAMENTO                     
F 224971            ;INA                 ;ROLAMENTO                     
F 227233            ;INA                 ;ROLAMENTO                     
F 227244            ;INA                 ;ROLAMENTO                     
F 229536.1          ;INA                 ;ROLAMENTO                     
F 231098            ;INA                 ;ROLAMENTO                     
F 23165             ;INA                 ;ROLAMENTO                     
F 232481            ;INA                 ;ROLAMENTO                     
F 232481 #          ;INA                 ;ROLAMENTO                     
F 232482            ;INA                 ;ROLAMENTO                     
F 232488            ;INA                 ;ROLAMENTO                     
F 232489            ;INA                 ;ROLAMENTO                     
F 233127.1          ;INA                 ;ROLAMENTO                     
F 233593.1          ;INA                 ;ROLAMENTO                     
F 234394            ;INA                 ;ROLAMENTO                     
F 235783            ;INA                 ;ROLAMENTO                     
F 235784            ;INA                 ;ROLAMENTO                     
F 23615             ;INA                 ;ROLAMENTO                     
F 236854            ;INA                 ;ROLAMENTO                     
F 24151             ;INA                 ;ROLAMENTO                     
F 24152             ;INA                 ;ROLAMENTO                     
F 27066             ;INA                 ;ROLAMENTO                     
F 293732            ;INA                 ;ROLAMENTO                     
F 30136             ;INA                 ;ROLAMENTO                     
F 30163             ;INA                 ;ROLAMENTO                     
F 30705             ;INA                 ;ROLAMENTO                     
F 32350             ;INA                 ;ROLAMENTO                     
F 32350.3           ;INA                 ;ROLAMENTO                     
F 32350.4           ;INA                 ;ROLAMENTO                     
F 32350.5           ;INA                 ;ROLAMENTO                     
F 33480             ;INA                 ;ROLAMENTO                     
F 3860              ;INA                 ;ROLAMENTO                     
F 3860 #            ;INA                 ;ROLAMENTO                     
F 414493            ;INA                 ;ROLAMENTO                     
F 42225             ;INA                 ;ROLAMENTO                     
F 42225 RS          ;INA                 ;ROLAMENTO                     
F 42225 RS C        ;INA                 ;ROLAMENTO                     
F 43088             ;INA                 ;ROLAMENTO                     
F 439321            ;INA                 ;ROLAMENTO                     
F 44170             ;INA                 ;ROLAMENTO                     
F 44203             ;INA                 ;ROLAMENTO                     
F 44309             ;INA                 ;ROLAMENTO                     
F 44322 A           ;INA                 ;ROLAMENTO                     
F 44322 A #         ;INA                 ;ROLAMENTO                     
F 44322 RNU         ;INA                 ;ROLAMENTO                     
F 44343             ;INA                 ;ROLAMENTO                     
F 44343.01          ;INA                 ;ROLAMENTO                     
F 44348             ;INA                 ;ROLAMENTO                     
F 44349             ;INA                 ;ROLAMENTO                     
F 44371             ;INA                 ;ROLAMENTO                     
F 44466             ;INA                 ;ROLAMENTO                     
F 44468             ;INA                 ;ROLAMENTO                     
F 44469             ;INA                 ;ROLAMENTO                     
F 44488             ;INA                 ;ROLAMENTO                     
F 44490             ;INA                 ;ROLAMENTO                     
F 44493             ;INA                 ;ROLAMENTO                     
F 44494             ;INA                 ;ROLAMENTO                     
F 44496             ;INA                 ;ROLAMENTO                     
F 44497             ;INA                 ;ROLAMENTO                     
F 44501             ;INA                 ;ROLAMENTO                     
F 44508             ;INA                 ;ROLAMENTO                     
F 44508.1           ;INA                 ;ROLAMENTO                     
F 44514 Z           ;INA                 ;ROLAMENTO                     
F 44516             ;INA                 ;ROLAMENTO                     
F 44517             ;INA                 ;ROLAMENTO                     
F 44518             ;INA                 ;ROLAMENTO                     
F 44519             ;INA                 ;ROLAMENTO                     
F 44525             ;INA                 ;ROLAMENTO                     
F 44547             ;INA                 ;ROLAMENTO                     
F 44552             ;INA                 ;ROLAMENTO                     
F 44573             ;INA                 ;ROLAMENTO                     
F 44624             ;INA                 ;ROLAMENTO                     
F 44818             ;INA                 ;ROLAMENTO                     
F 44818.2           ;INA                 ;ROLAMENTO                     
F 44821 C           ;INA                 ;ROLAMENTO                     
F 44828             ;INA                 ;ROLAMENTO                     
F 44878 Z/2         ;INA                 ;ROLAMENTO                     
F 44879 Z           ;INA                 ;ROLAMENTO                     
F 44889             ;INA                 ;ROLAMENTO                     
F 44907             ;INA                 ;ROLAMENTO                     
F 44918             ;INA                 ;ROLAMENTO                     
F 44920             ;INA                 ;ROLAMENTO                     
F 44920.1           ;INA                 ;ROLAMENTO                     
F 44948             ;INA                 ;ROLAMENTO                     
F 45059             ;INA                 ;ROLAMENTO                     
F 45061             ;INA                 ;ROLAMENTO                     
F 45063             ;INA                 ;ROLAMENTO                     
F 45073             ;INA                 ;ROLAMENTO                     
F 45084             ;INA                 ;ROLAMENTO                     
F 45086             ;INA                 ;ROLAMENTO                     
F 45087             ;INA                 ;ROLAMENTO                     
F 45138             ;INA                 ;ROLAMENTO                     
F 45138 #           ;INA                 ;ROLAMENTO                     
F 45138 Z           ;INA                 ;ROLAMENTO                     
F 45154             ;INA                 ;ROLAMENTO                     
F 45168             ;INA                 ;ROLAMENTO                     
F 45226             ;INA                 ;ROLAMENTO                     
F 45314             ;INA                 ;ROLAMENTO                     
F 45350             ;INA                 ;ROLAMENTO                     
F 45358             ;INA                 ;ROLAMENTO                     
F 45358 N           ;INA                 ;ROLAMENTO                     
F 45373             ;INA                 ;ROLAMENTO                     
F 45376             ;INA                 ;ROLAMENTO                     
F 45385             ;INA                 ;ROLAMENTO                     
F 45397.2           ;INA                 ;ROLAMENTO                     
F 45398             ;INA                 ;ROLAMENTO                     
F 45425             ;INA                 ;ROLAMENTO                     
F 45442 C           ;INA                 ;ROLAMENTO                     
F 45458.1           ;INA                 ;ROLAMENTO                     
F 45461             ;INA                 ;ROLAMENTO                     
F 45472             ;INA                 ;ROLAMENTO                     
F 45504.2           ;INA                 ;ROLAMENTO                     
F 45508             ;INA                 ;ROLAMENTO                     
F 45517             ;INA                 ;ROLAMENTO                     
F 45519             ;INA                 ;ROLAMENTO                     
F 45535             ;INA                 ;ROLAMENTO                     
F 45535.1           ;INA                 ;ROLAMENTO                     
F 45535.2           ;INA                 ;ROLAMENTO                     
F 45544             ;INA                 ;ROLAMENTO                     
F 45544 B           ;INA                 ;ROLAMENTO                     
F 45603             ;INA                 ;ROLAMENTO                     
F 45605             ;INA                 ;ROLAMENTO                     
F 45698             ;INA                 ;ROLAMENTO                     
F 45713             ;INA                 ;ROLAMENTO                     
F 45715             ;INA                 ;ROLAMENTO                     
F 45721             ;INA                 ;ROLAMENTO                     
F 45721 #           ;INA                 ;ROLAMENTO                     
F 45747             ;INA                 ;ROLAMENTO                     
F 45747             ;INA                 ;ROLAMENTO                     
F 45747 B           ;INA                 ;ROLAMENTO                     
F 45747.2           ;INA                 ;ROLAMENTO                     
F 45775             ;INA                 ;ROLAMENTO                     
F 45775.1A          ;INA                 ;ROLAMENTO                     
F 45778             ;INA                 ;ROLAMENTO                     
F 45779             ;INA                 ;ROLAMENTO                     
F 45779             ;INA                 ;ROLAMENTO                     
F 45779 #           ;INA                 ;ROLAMENTO                     
F 45802             ;INA                 ;ROLAMENTO                     
F 45802.1           ;INA                 ;ROLAMENTO                     
